date,country,week,cases,deaths,recovered,monitoring
2020-07-19,Brasil,30,2098389,79488,1371229.0,647672.0
2020-07-20,Brasil,30,2118646,80120,612605.0,629324.0
2020-07-21,Brasil,30,2159654,81487,1465970.0,612197.0
2020-07-22,Brasil,30,2227514,82771,1532138.0,612605.0
2020-07-23,Brasil,30,2287475,84082,1570237.0,633156.0
2020-07-24,Brasil,30,2343366,85238,1592281.0,665847.0
2020-07-25,Brasil,30,2394513,86449,1617480.0,690584.0
2020-07-26,Brasil,31,2419091,87004,1634274.0,697813.0
2020-07-27,Brasil,31,2442375,87618,1667667.0,687090.0
2020-07-28,Brasil,31,2483191,88539,1721560.0,673092.0
2020-07-29,Brasil,31,2552265,90134,1786753.0,675378.0
2020-07-30,Brasil,31,2610102,91263,1824095.0,694744.0
2020-07-31,Brasil,31,2662485,92475,1844051.0,725959.0
2020-08-01,Brasil,31,2707877,93563,1865729.0,748585.0
2020-08-02,Brasil,32,2733677,94104,1883677.0,755896.0
2020-08-03,Brasil,32,2750318,94665,1912319.0,743334.0
2020-08-04,Brasil,32,2801921,95819,1970767.0,735335.0
